,Tiktoker name,Tiktok name,Subscribers count,Views avg.,Likes avg,Comments avg.,Shares avg
177,cookingwithlynja,Lynja,9900000.0,5200000.0,649000.0,2500.0,1400.0
178,gordonramsayofficial,Gordon Ramsay,31700000.0,5700000.0,557200.0,3200.0,835.0
179,nabela,nabela,7200000.0,5400000.0,627100.0,2600.0,1200.0
180,alexwaarren,Alex warren,15200000.0,4600000.0,769000.0,1300.0,2300.0
181,ayesebastien,Sebastien,7200000.0,3100000.0,565300.0,2800.0,4600.0
182,jamie32bsh,Jamie Big Sorrel Hor,7100000.0,5800000.0,313600.0,4700.0,2200.0
183,maxthemeatguy,Max The Meat Guy,3800000.0,6200000.0,681900.0,1700.0,1200.0
184,andy.and.michelle,Andy & Michelle,3700000.0,3100000.0,438100.0,2800.0,6100.0
185,realmsp,RealMsP,349100.0,4900000.0,771900.0,2000.0,1100.0
186,gameofthrones,Game of Thrones,647300.0,3000000.0,359500.0,1900.0,9000.0
187,ameliadimz,ameliadimz,1300000.0,3700000.0,529800.0,4100.0,1800.0
188,chris,Chris Olsen,7200000.0,6100000.0,712100.0,1600.0,1100.0
189,isaach.p,Isaac H.P,1600000.0,2400000.0,230000.0,11000.0,9700.0
190,billlnai,nai,8400000.0,3100000.0,797100.0,3200.0,1400.0
191,samseats,Sam Way,8700000.0,3600000.0,618500.0,2800.0,2200.0
192,soysuco_ff,Suco Ismael,3700000.0,3400000.0,430500.0,6600.0,981.0
193,gaynadia,nadia,287900.0,2200000.0,583800.0,4400.0,4100.0
194,thatlittlepuff,ThatLittlePuff,25000000.0,5100000.0,612900.0,1400.0,2100.0
195,lachama4_ff,LA CHAMA ᴰ,8300000.000000001,2900000.0,477000.0,7300.0,693.0
196,envydo,envy,198700.0,1800000.0,476100.0,9200.0,3300.0
197,k1lauea,killazz,128199.99999999999,1800000.0,451400.0,9100.0,3700.0
198,noreportar08,noreportar08,265300.0,4000000.0,104900.0,11100.0,12900.0
199,elrodcontreras,ROD🥴,40100000.0,3300000.0,521000.0,4800.0,1000.0
200,k1lauea,killazz,128199.99999999999,1800000.0,451400.0,9100.0,3700.0
201,noreportar08,noreportar08,265300.0,4000000.0,104900.0,11100.0,12900.0
202,elrodcontreras,ROD🥴,40100000.0,3300000.0,521000.0,4800.0,1000.0
203,kpp2179393999,きゃりーぱみゅぱみゅの裏垢,834900.0,6500000.0,345500.0,1300.0,3200.0
204,elgato,Rodrigo EL GATO,3200000.0,3300000.0,454000.0,4000.0,2700.0
205,carolfermichh,CarolFerMichh,6200000.0,4300000.0,664800.0,2400.0,1100.0
206,montpantoja,Montpantoja,32299999.999999996,3500000.0,652500.0,3200.0,1200.0
207,mmmjoemele,Joe Mele,21000000.0,4300000.0,608400.0,2200.0,1500.0
208,1xgoku,goku,74800.0,1900000.0,345600.0,2500.0,12200.0
209,anthonnyswagg3,anthonnyswagg,8500000.0,8100000.0,469600.0,1700.0,797.0
210,bjjojo_,j🐞j🦋fan,61600.0,2000000.0,354500.0,6200.0,7300.0
211,uberkuloz,Berk Keklik,1000000.0,5200000.0,394700.0,2100.0,2500.0
212,nilskue,Nils Kuesel,9500000.0,2600000.0,515400.0,5200.0,1800.0
213,mcsilsiloficial,@mcsilsiloficial,5800000.0,2600000.0,201700.0,4700.0,13700.0
214,labrinth,Labrinth,924900.0,4200000.0,416900.0,3400.0,1900.0
215,oilywhitehat,🔌,197300.0,5500000.0,373500.0,3100.0,1400.0
216,jacksepticeye,Jacksepticeye,4200000.0,2900000.0,512700.00000000006,4300.0,1900.0
217,marisol.viola,marisol viola,1100000.0,2600000.0,504800.0,4100.0,3100.0
218,strangehumano,strangehumman NOVA,7800000.0,3200000.0,386300.0,4500.0,3000.0
219,playboyjuju,🕷,259399.99999999997,3300000.0,291200.0,5500.0,4200.0
220,itsjessibaby,Jessi,5000000.0,3100000.0,738500.0,3200.0,835.0
221,bbykevv_,Kevin Nguyen,1600000.0,3200000.0,633100.0,2100.0,2400.0
222,nykolasteles,Nykolas Teles,3800000.0,2700000.0,368800.0,5800.0,3400.0
223,morimura,MoriMura🍕,6400000.0,2200000.0,483000.0,4400.0,4100.0
224,danisoomin,daniela kim,8400000.0,3400000.0,492700.0,4100.0,1200.0
225,tenderlybaemusic,tenderlybae,14400000.0,3600000.0,409500.0,4600.0,1500.0
226,ig_alongwiranda,🕌🏃,880700.0,3200000.0,129400.0,1200.0,20000.0
227,crisdevilgamer7,CrisDevilGamer,4500000.0,3500000.0,388100.0,5200.0,1200.0
228,meishmoe,meishmoe,3900000.0,2500000.0,534500.0,2400.0,4100.0
229,maylathanzin,Maylathanzin,1900000.0,3500000.0,417600.0,1200.0,4700.0
230,zuuzina,👽,1200000.0,2700000.0,342400.0,4200.0,5100.0
231,jennifergarner,Jen Garner,2100000.0,3400000.0,315000.0,5600.0,2400.0
232,seventeen17_official,SEVENTEEN,3900000.0,1500000.0,375900.0,11100.0,4100.0
233,meosimmyyt,Mèo Simmy,3900000.0,2700000.0,367100.0,7100.0,1500.0
234,mariabecerra_22,Maria Becerra,6100000.0,3200000.0,553900.0,3600.0,1200.0
235,frostech,FROSTECH,321000.0,3400000.0,411000.0,1500.0,4600.0
236,p0_2,مشاري بن عبدالعزيز  -,1700000.0,4900000.0,233700.0,6000.0,1500.0
237,joelbergs,JoelBergs,11200000.0,3400000.0,636300.0,1700.0,2200.0
238,euro2024,EURO2024,6800000.0,2500000.0,407300.0,2900.0,5400.0
239,daz_black,daz_black,7000000.0,2300000.0,506400.0,4300.0,2900.0
240,claragnds,Maria Clara Garcia,16000000.0,2800000.0,401500.0,5200.0,2100.0
241,desartdestro,desartdestro,7800000.0,5400000.0,368300.0,2000.0,2100.0
242,camilacabello,Camila Cabello,15300000.0,5200000.0,321800.0,2800.0,2000.0
